Name;LoansAdvances;AssetRepos;LiabilityRepos;BankDeposits;OtherDepositsShortBorrowings;LongFunding;CustomerDeposits;LiquidAssets;Loans;Intangibles;NetInterestIncome;OperatingIncome;Equity;Goodwill;TotalAssetes
1ST SOURCE CORPORATION;21781;0;120459;120459;28936;151220;5357330;88996;4994553;88171;223866;327299;848636;83866;6623270
ABN AMRO BANK NV;23576793;18276592;9909510;23611618;n.a.;94990198;263988855;106118597;301185748;199965;7266150;9548899;24120518;123574;421335609
ABSA GROUP LIMITED;7964256;5004869;4497723;9808391;3695330;9505373;57477139;25997784;62297488;734374;3315451;5726267;9174904;60960;99759072
ABU DHABI COMMERCIAL BANK;6564033;283578;231738;1792739;818062;13700703;71366584;28871619;68078236;1452007;2039081;3194384;15166138;1255731;110315772
ACLEDA BANK PLC;120101;n.a.;n.a.;285175;n.a.;735191;4082723;1009656;3846021;9000;326670;385242;964462;n.a.;6175162
AGRICULTURAL BANK OF CHINA LIMITED;210177900;101409903;7613711;356519962;85572062;121824101;2653908806;666227416;1834780289;3506369;69682410;86739086;280486902;197653;3560653752
AHLI BANK QSC;800360;n.a.;n.a.;1220668;5495;1959783;7005454;1203767;8678876;n.a.;227015;305084;1637009;n.a.;12064528
AHLI UNITED BANK BSC;4683260;n.a.;2891532;7915447;n.a.;74462;25518123;9278162;20742360;487155;951500;1235529;5361529;432417;40280051
AIB GROUP PUBLIC LIMITED COMPANY;1724419;n.a.;n.a.;924558;1404250;8210930;80663480;33415529;68401570;1030158;2332178;3003971;15985980;78638;110724536
AKBANK T.A.S.;7614796;4586288;1674490;2839452;n.a.;9041209;40019304;19795031;38000345;160320;2848925;3523501;9167436;n.a.;65143750
AL AHLI BANK OF KUWAIT (KSC);1472859;n.a.;n.a.;1980059;n.a.;499027;10954533;4836407;10611107;60518;421155;569226;2280023;n.a.;16113167
AL KHALIJ COMMERCIAL BANK P.Q.S.C.;2129978;n.a.;1136236;3043984;329018;1222365;8019536;4185359;8466139;36521;269150;323547;1923960;32057;14771358
ALLY FINANCIAL INC;2863000;0;0;0;12199000;27359000;120751000;3484000;127126000;462000;4258000;7447000;14416000;393000;180644000
ALM. BRAND A/S;49581;n.a.;n.a.;125526;n.a.;112494;1571623;4630986;825956;28011;98713;392756;685451;n.a.;6261028
ALPHA BANK AE;3743943;1308705;7072377;11527524;n.a.;1453558;45345231;14596128;44111721;553101;1738201;2606506;9521477;n.a.;71288282
AMERICAN EXPRESS COMPANY;20694000;87000;0;0;15134000;49926000;75407000;24307000;146380000;3582000;8620000;43579000;23128000;3315000;198314000
AMERIPRISE FINANCIAL, INC.;n.a.;n.a.;n.a.;n.a.;750000;2791000;14430000;6213000;5243000;1280000;-1019000;12084000;5729000;1167000;151828000
AMERIS BANCORP;375864;24413;20635;20635;1135880;432650;14027070;622098;14437021;1126258;505166;694848;2469584;931637;18242600
AMMB HOLDINGS BERHAD;195459;n.a.;1476516;3805841;n.a.;1579300;26256063;11151500;24625434;758049;450579;982108;4546203;653042;39326690
AMUNDI SA;1331733;n.a.;n.a.;917508;n.a.;535654;n.a.;14042297;n.a.;6961533;-15022;3013529;9998587;6416573;27255221
ANNALY CAPITAL MANAGEMENT INC;n.a.;n.a.;101740728;101740728;1469833;2985867;n.a.;1850729;11464810;470850;1002422;-2026351;15796344;71815;130295081
AOZORA BANK LTD;1271196;653275;2843450;3199733;434591;6325161;30815631;5542447;26681905;176725;448850;1125649;3907617;n.a.;48756349
ARAB BANK PLC;4572149;n.a.;n.a.;3761895;3082753;428816;33154995;11592656;23990249;29820;1341291;2230830;9102451;n.a.;51214844
ARAB NATIONAL BANK PUBLIC JOINT STOCK COMPANY;2781598;2230133;n.a.;821915;n.a.;741021;37901041;4663006;31689901;n.a.;1480784;1798963;7558210;n.a.;48917996
ARION BANKI HF;148200;n.a.;n.a.;49414;n.a.;2682312;4070322;1771140;6391041;69092;250347;396350;1567506;5524;8933568
ASIA COMMERCIAL JOINT-STOCK BANK;1310369;n.a.;n.a.;831292;35927;870442;13307251;1717326;11494919;45309;523090;697189;1199109;n.a.;16562922
ASSOCIATED BANC-CORP.;215364;7740;433097;433097;637562;3174142;23779000;588744;22771309;1331837;835674;1216198;3922125;1176230;32386500
ATLANTIC UNION BANKSHARES CORPORATION;274464;38172;66053;66053;431703;1082044;13308520;437514;12624011;1009229;537969;670683;2513107;935560;17563500
ATTIJARIWAFA BANK;2534732;96093;2617331;4913569;n.a.;3816823;34889381;16321160;33652040;1341150;1557003;2448199;5621173;1033372;55518673
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED;49602450;27186997;5351282;65007717;7971919;87528455;370073989;149318249;415237621;3280689;9677391;12677996;41029870;2339878;662169357
AVANZA BANK HOLDING AB;189907;n.a.;n.a.;n.a.;n.a.;20002;3914273;2461261;1409353;8173;21722;127429;209156;2473;16769219
AXIS BANK LIMITED;2335217;n.a.;n.a.;6609937;n.a.;19043503;80113999;13605132;76698041;n.a.;3411744;5480464;11468190;n.a.;123082936
AXOS FINANCIAL, INC;959338;100;0;0;80000;241055;10114330;1027915;10180909;141795;452392;532687;1160752;71222;12269300
AZIMUT HOLDING SPA;300029;n.a.;n.a.;68332;n.a.;957670;52462;7837314;205186;712620;-15251;848252;866738;601269;9272160
BANCA GENERALI SPA;704649;n.a.;n.a.;106506;n.a.;0;11693670;4488278;7948992;150687;83148;662494;1030908;n.a.;13217446
BANCA MEDIOLANUM SPA;740710;n.a.;n.a.;265602;n.a.;76630;26802576;30351877;27621030;228557;342852;1586811;2632253;n.a.;60031830
BANCA PICCOLO CREDITO VALTELLINESE;2062387;n.a.;n.a.;3254482;n.a.;1417689;19891938;3587119;21932969;22134;390340;711523;1860678;n.a.;27343552
BANCA POPOLARE DI SONDRIO SOCIETA COOPERATIVA PER AZIONI;1199182;n.a.;n.a.;4861748;n.a.;3150858;33496410;7143314;37221167;35034;517185;1039745;3299224;n.a.;46223623
BANCFIRST CORPORATION;1647240;1000;1100;1100;524;31900;7483636;1869283;5618903;171212;282156;420285;1004989;148604;8565780
BANCO BBVA ARGENTINA S.A;86316;n.a.;n.a.;105825;n.a.;122413;4914026;3524769;3230687;9858;428421;1477331;1092442;n.a.;7362988
BANCO BBVA PERU;1416050;n.a.;1069959;2740491;39117;1708612;16493657;5075513;16757190;87109;1032479;1486825;2770207;397;24676795
BANCO BILBAO VIZCAYA ARGENTARIA SA;15362493;2070426;3626335;62050991;2187260;85123377;431030549;223098224;430773291;7824480;20448124;29825143;61703860;5566446;784908244
BANCO BPI SA;1367323;447019;594977;3676728;n.a.;1526362;25847892;5296273;24666434;73974;490110;862294;3860156;n.a.;35737093
BANCO BPM SPA;12171496;n.a.;n.a.;32043110;n.a.;17649412;105711827;33135577;137405956;1425999;2244499;4728852;13353946;n.a.;187650691
BANCO BRADESCO SA;14603482;11979494;43199925;49889584;6798256;49867962;91271584;77927980;85688740;2859177;19661325;43005459;33181117;962430;337246976
BANCO BTG PACTUAL SA;6009544;5618729;7437371;8182573;n.a.;7850337;5430826;17997538;8022894;242088;-198665;2260387;5446744;242088;41275424
BANCO COMERCIAL PORTUGUES, SA;1363641;n.a.;48641;7177313;199075;3364832;66398596;23524182;56394893;272571;1739616;2842739;8292100;170832;91718193
BANCO DE CHILE SA;3438273;191143;414620;3196746;n.a.;12032214;29790701;8233670;39273929;78304;1884667;2713975;4738287;n.a.;55428721
BANCO DE CREDITO DEL PERU;1239822;873642;1751158;1813012;n.a.;6932174;30003972;3948292;30276443;424058;2455981;3588599;5740917;83380;45461662
BANCO DE CREDITO E INVERSIONES - BCI;3586350;263242;1221282;8115836;28439;9671970;37003379;8501349;44466756;542847;1774723;2550555;5093229;194069;67600416
BANCO DE OCCIDENTE;219244;n.a.;n.a.;1170974;n.a.;1013337;8720687;2079814;8893376;89219;574366;838865;1478143;6898;12925638
BANCO DE SABADELL SA;16428794;13526778;9614612;36495988;1229249;28808033;164478203;43101569;165791072;2881502;4069399;6159125;14575446;1159151;251364808
BANCO DEL BAJIO;2551843;371500;317481;2591270;n.a.;159351;7732632;3135865;8920521;20854;660752;793252;1680110;5306;12620190
BANCO DO BRASIL S.A.;106283134;96963449;100333818;107643562;n.a.;87730100;120344978;153287983;143797120;1469082;13349303;22264504;27287506;n.a.;360355022
BANCO INTER SA;813075;n.a.;n.a.;241682;324;478044;1169807;1058444;1131938;19664;126577;182960;535875;n.a.;2494542
BANCO INTERNACIONAL DEL PERU S.A.A. - INTERBANK;795087;518560;584495;1097192;124359;2151096;10283661;3096664;10482569;123608;864144;1235183;1819249;n.a.;15782472
BANCO MACRO SA;519074;18196;16767;59583;n.a.;499025;4391222;2647023;3613709;35507;1212367;1710687;1502047;n.a.;7165244
BANCO SANTANDER (BRASIL) S.A.;27104321;n.a.;24934278;39149184;n.a.;34600726;68983617;73176740;81064855;7591818;10997520;15004047;24120781;7040769;189136109
BANCO SANTANDER (MEXICO) S.A., INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO SANTANDER;2447201;979241;10706068;16352652;n.a.;4649035;33504818;12536349;35843239;468714;3520950;4749008;7359699;92066;74925923
BANCO SANTANDER CHILE;1789068;n.a.;510401;4160674;n.a.;12972009;31546627;11019569;42448903;98559;1902936;2575049;4671514;n.a.;67920168
BANCO SANTANDER SA;45995360;n.a.;n.a.;171845352;98457010;229672360;886865768;412128224;1053100861;31103572;39636917;57705680;124314304;27237953;1710595340
BANDHAN BANK LIMITED;266362;n.a.;n.a.;1141042;n.a.;1875838;6727737;1108019;8838516;n.a.;838872;1033896;2015690;n.a.;12166439
BANGKOK BANK PUBLIC COMPANY LIMITED;6959342;n.a.;n.a.;4455329;n.a.;4798070;78622804;18042453;62712941;58367;2356934;4381455;14197663;n.a.;106677162
BANGKOK COMMERCIAL ASSET MANAGEMENT PUBLIC COMPANY LTD;45729;n.a.;n.a.;n.a.;n.a.;2510033;n.a.;45885;2587511;528;232386;238660;1229227;n.a.;3839944
BANK ARTOS INDONESIA, PT;43;n.a.;n.a.;2009;n.a.;n.a.;43096;1877;18105;12;827;946;49002;n.a.;95033
BANK DANAMON INDONESIA TBK;616914;268500;n.a.;322467;1009040;708203;7898128;1169036;9839607;115696;1048802;1294313;3267176;77299;13922301
BANK FUR TIROL UND VORARLBERG AG;526267;n.a.;n.a.;1696918;n.a.;1168823;8443381;2748554;8917894;1666;157151;417900;1965212;n.a.;14097765
BANK HANDLOWY W WARSZAWIE S.A.;314901;172686;56385;559680;n.a.;37725;10476815;6050742;5776113;380003;303796;591288;1862879;328087;13686847
BANK HAPOALIM BM;1526910;136285;868;1019387;n.a.;7769965;104840856;27546296;85333044;327546;2721933;3970486;11059317;n.a.;134168981
BANK LEUMI LE ISRAEL BM;3767940;425347;137731;1924769;n.a.;5774884;108205729;23497396;81950810;259259;2558160;3998264;10380208;4630;135744791
BANK MANDIRI (PERSERO) TBK;2246879;140663;272071;1235876;2039066;4222212;61154454;8341122;63096521;238924;3982514;6037537;15037368;30438;94831013
BANK MEGA TBK;616546;284982;283037;726249;n.a.;n.a.;5236325;1003172;3793598;n.a.;257789;429016;1118008;n.a.;7251550
BANK MILLENNIUM;260609;54096;23886;439624;154689;680303;21448445;6874470;18367679;90226;641683;931825;2354456;42857;25819822
BANK MUSCAT SAOG;2135368;n.a.;n.a.;3051961;n.a.;1436151;20919808;4736528;23089834;n.a.;756515;1228013;5208416;n.a.;31965171
BANK NEGARA INDONESIA (PERSERO) TBK, PT;1665945;29598;157068;990409;17840;4321452;41906369;6509273;38836192;n.a.;2413255;3661657;8992440;n.a.;60830511
BANK OCBC NISP TBK;373940;33344;643752;1118571;76624;215583;9072833;1415629;8232270;n.a.;454085;600784;1990130;n.a.;12999563
BANK OF AFRICA;3718874;1493815;1479233;4786074;n.a.;2828672;21053949;9067173;18072534;220080;1033443;1513041;2897480;107588;32913857
BANK OF AMERICA CORPORATION;412113000;274597000;165109000;165109000;101396000;216706000;1434806000;682918000;1019182000;72157000;49667000;90364000;264844000;68951000;2434080000
BANK OF AYUDHYA PUBLIC COMPANY LTD.;3871991;n.a.;n.a.;8361113;n.a.;5825662;51962759;12186222;58200439;560556;2534423;3817902;9024197;409730;78251364
BANK OF BARODA;18121766;n.a.;n.a.;13111493;n.a.;6627327;122062343;22664363;88436623;29702;3827613;5306025;10146522;29702;159173282
BANK OF BEIJING CO LTD;19069844;4521969;3304852;118615714;n.a.;13198941;221143550;64162444;201373692;77716;7095892;9035208;29907399;n.a.;391733215
BANK OF CHANGSHA CO LTD;2033383;852809;2003953;20806371;n.a.;2551292;56106583;14328611;36094271;88033;1757234;2435810;5987294;n.a.;86159687
BANK OF CHENGDU CO LTD;3122272;n.a.;2280497;16563092;n.a.;2329178;55348398;15877939;31989510;5166;1477180;1821248;5099483;n.a.;79917808
BANK OF CHINA LIMITED;200303276;22096322;25391441;512044650;n.a.;103339057;2263853993;713776721;1823876468;3283383;53563761;75143838;282910545;384428;3258872733
BANK OF CHONGQING;8770108;7217250;1921512;22707608;n.a.;2431542;40224547;18681832;34152974;29563;1265082;1710933;5526502;n.a.;71737779
BANK OF COMMUNICATIONS CO. LTD;92855159;2226277;15293831;272517816;73333762;58717904;869172455;262257762;741899664;534421;20621583;31690997;114628881;61543;1417718607
BANK OF EAST ASIA LTD;7997945;n.a.;n.a.;3584821;9530628;1845383;73651856;34897650;64894825;247335;1862078;2607679;14079620;189290;111108001
BANK OF GUIYANG CO LTD;2203125;907408;396584;22540881;n.a.;2650495;48315791;15640684;28120072;24861;1730099;2099334;5771745;n.a.;80205995
BANK OF HANGZHOU CO LTD;14267265;5899405;5380397;42100371;n.a.;4835439;88732845;29100367;56888860;163611;2234596;3064134;8951567;n.a.;146567926
BANK OF HAWAII CORPORATION;259553;0;604306;604306;75336;118439;15784480;600122;10919935;56539;503022;681015;1286833;31517;18095500
BANK OF INDIA;8892740;n.a.;n.a.;7322483;n.a.;2769147;69119321;12798848;47856147;38826;2042731;2856073;5999075;n.a.;87949978
BANK OF IRELAND GROUP PLC;1905286;n.a.;224680;2693913;n.a.;12020378;93284877;41987070;89295684;941409;2420927;3371323;11720431;40442;148157343
BANK OF JIANGSU CO LTD;10338021;881570;5643949;90392766;n.a.;9932348;172543643;44688288;151535161;90967;3654881;6436813;19527110;n.a.;295557230
BANK OF KYOTO;939494;n.a.;3952383;8070304;8141150;671095;65474059;10925290;53320149;27755;635474;861362;7681564;n.a.;92718154
BANK OF MAHARASHTRA;13215;n.a.;n.a.;101852;n.a.;423426;19865810;1386640;11522759;n.a.;567719;767213;1447111;n.a.;22420311
BANK OF MONTREAL;87772034;81702885;69744679;87841943;n.a.;5315349;413622328;249434643;323779626;6659574;9793313;17306230;38811549;4817629;647564571
BANK OF N.T. BUTTERFIELD & SON LTD. (THE);1069634;142283;n.a.;33759;n.a.;143500;12407866;2699772;5142622;104610;345702;532444;963743;24838;13921575
BANK OF NANJING;7377805;3892676;4079300;42337491;n.a.;9682665;123608558;31608593;78642848;62057;3059976;4643232;12584542;n.a.;192276422
BANK OF NEW YORK MELLON CORPORATION;139716000;30182000;11401000;11401000;16887000;25284000;259529000;153476000;54534000;20493000;3197000;16463000;41728000;17386000;381508000
BANK OF NINGBO;5190235;2470188;8972979;42225782;n.a.;11836082;111524851;44978092;72998220;54469;2800033;5021322;14417648;n.a.;188595539
BANK OF NOVA SCOTIA (THE) - SCOTIABANK;126895133;99679328;94287991;129803948;2045593;5510638;521771261;280857894;450215032;13271276;13052431;23582066;53337384;7318389;825350280
BANK OF QINGDAO CO LTD;996492;332871;2293843;14266805;n.a.;3656315;30832317;15074946;25503951;27801;979828;1377256;4362089;n.a.;53473901
BANK OF QUEENSLAND LIMITED;1862230;680534;n.a.;191463;n.a.;8052196;25754802;5470469;30891386;620743;645600;729575;2592477;458168;37350072
BANK OF SHANGHAI;26762074;324468;9066790;110880963;329797;5581323;172255838;75580212;134710265;106432;4339575;7128779;25365197;n.a.;320177748
BANK OF SUZHOU CO LTD;3569960;1394384;3324628;11994273;n.a.;665753;31789630;9550748;22230761;58457;867918;1349154;4143867;n.a.;49158660
BANK OF THE PHILIPPINE ISLANDS;485181;n.a.;n.a.;1354387;n.a.;1830995;33409723;3296134;29074097;55120;1299563;1731200;5380616;n.a.;43454004
BANK PERMATA TBK;799575;110393;340501;554420;n.a.;164859;8861559;1797392;7559327;37188;341171;555635;1729181;8130;11614359
BANK POLSKA KASA OPIEKI SA;471716;250743;157527;1823177;422451;1966450;41501418;10414259;37104917;425924;1439831;2203331;6161104;196869;53538433
BANK RAKYAT INDONESIA (PERSERO) TBK;3539704;1624504;3589880;4882580;929031;4179087;71676678;14215230;62455387;n.a.;5733966;7996340;15019370;n.a.;101917731
BANK TABUNGAN NEGARA (PERSERO);188775;134898;68114;392496;1186911;2283980;14884226;1475509;17963378;n.a.;582989;807809;1714710;n.a.;22428367
BANKIA, SA;6160248;3959462;22061986;59403237;n.a.;22605363;126018376;34672623;131918746;450939;2272668;3987483;14980646;99378;234193227
BANKINTER SA;1853199;324109;408832;9789451;104659;10375714;62828927;19166411;66472430;440301;1337567;2473592;5392279;184365;94064904
BANKUNITED, INC;206969;0;100000;100000;4249390;762714;24422020;214673;23084255;85651;754720;896796;2980784;77637;32871300
BANNER CORPORATION;73376;0;118474;118474;300000;269304;10048640;333371;9415248;416454;468911;550749;1594031;373121;12604000
BANQUE CANTONALE VAUDOISE;1471803;246850;1551332;3310266;670316;6659781;34133443;11227019;33844246;6197;513117;1024995;3702747;6197;49940094
BANQUE CENTRALE POPULAIRE SA;2047351;534685;2669142;4821192;n.a.;1300898;32051286;13879364;26456350;374690;1167648;1856878;4899727;257578;44972300
BANQUE SAUDI FRANSI JSC;997891;n.a.;n.a.;632571;n.a.;189837;35423336;3826356;33526694;n.a.;1388181;1816209;8785792;n.a.;47506290
BARCLAYS PLC;253436524;240808393;276082921;296572143;34935994;91145876;525365178;734210909;409048329;10653346;12343395;28464470;86155769;5116073;1496151484
BAWAG GROUP AG;6425847;n.a.;818958;4284647;2077166;4300375;34126641;12555117;34607456;639215;983424;1509063;4300375;105600;51296684
BDO UNIBANK INC;767697;n.a.;n.a.;1346819;n.a.;2389524;48975800;5827349;42920976;186071;2362664;2860358;7303070;89370;62842070
BENDIGO AND ADELAIDE BANK LIMITED;777497;138320;n.a.;290887;8681935;3480271;33226897;5003866;42756250;1165761;891888;1062575;3894816;996112;50096273
BERKSHIRE HILLS BANCORP INC;470383;59276;0;0;431897;487271;10338960;589226;9608174;625828;365256;448052;1758566;553762;13216900
BGC PARTNERS INC;n.a.;n.a.;13902;13902;107585;1251100;n.a.;707867;315590;856969;-40758;2017661;743737;553745;3916120
BNP PARIBAS;241677011;218537220;244528199;335415741;n.a.;204199268;936345914;627079552;905389508;13108953;23734069;50758576;125646657;8781617;2431838268
BNP PARIBAS BANK POLSKA SA;178874;n.a.;n.a.;1181047;n.a.;1227929;22680828;3563365;19435720;136910;834389;1264619;2938458;n.a.;28952823
BOC HONG KONG (HOLDINGS) LTD;24164505;n.a.;n.a.;34402081;14897;1901117;258029153;147178503;181016310;n.a.;5203930;7512007;39487865;n.a.;388603572
BOK FINANCIAL CORPORATION;492359;8693;3804230;3804230;4631130;302979;27659720;4118981;21676244;1375247;1114363;1769140;4863926;1048090;42323700
BPER BANCA S.P.A.;5691569;n.a.;n.a.;13720232;n.a.;6554913;58514798;14791754;67937457;752506;1308243;2503853;5944523;n.a.;88786220
BRD-GROUPE SOCIETE GENERALE SA;800224;n.a.;n.a.;98834;165621;330484;10772332;5734938;7342643;55252;504685;767440;1920747;11765;13558605
BREWIN DOLPHIN HOLDINGS PLC;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;282494;n.a.;144224;1921;419061;415408;64867;727163
BROOKLINE BANCORP INC;56781;0;60689;60689;599262;242798;5855751;99813;6676738;164850;253300;282593;945606;160427;7875300
BURGAN BANK KPSC;3112906;n.a.;n.a.;4040112;n.a.;1504521;13169500;6728537;14137338;75575;551463;818842;3142247;28141;23365825
CADENCE BANCORPORATION;736317;10974;0;0;7801;441753;14742800;988764;12951706;594759;651175;780805;2460843;485336;17785400
CAIXABANK, S.A.;5788879;n.a.;2692789;24866456;789750;46662660;246698608;45023619;249754255;4312732;5561953;10693643;28254630;3427493;439714430
CANADIAN IMPERIAL BANK OF COMMERCE;55694527;45421731;40746959;49275834;n.a.;3559270;360553181;141391333;295547864;5636778;8017477;14142097;29316109;4140577;495139803
CANADIAN WESTERN BANK;257785;30673;22770;22770;n.a.;1833049;19263952;1881014;21554629;196915;596948;654714;2239880;64888;23878597
CANARA BANK;6536961;n.a.;n.a.;3452467;n.a.;5368480;79812348;9531282;56925866;n.a.;1849360;3355140;5562851;n.a.;98352644
CAPITAL ONE FINANCIAL CORPORATION;9658710;0;313757;313757;16931100;40294450;262705043;13715650;259001183;15127152;23339433;28591240;58010498;14653300;390365000
CAPITAL SECURITIES CORPORATION;20596;n.a.;1057847;1057847;220255;33635;n.a.;1913212;n.a.;119901;30409;1686305;1202954;104590;4423384
CAPITEC BANK HOLDINGS LIMITED;1549498;1549498;n.a.;n.a.;22292;395063;6409640;2699846;3990741;88366;730790;1359885;1645413;51103;8655702
CAPITOL FEDERAL FINANCIAL INC;46403;0;100000;100000;1090000;999991;5637010;88993;7431315;17044;204781;227906;1306592;9324;9254760
CATHAY FINANCIAL HOLDINGS CO LTD;17012535;1447782;1670050;4463783;n.a.;4445018;76511120;110431723;68649481;1703015;6522504;9380177;25975791;628611;334334658
CATHAY GENERAL BANCORP INC;401538;0;0;0;483445;403913;14692309;578778;14998776;378486;574505;617452;2294280;372189;18094100
CENTRAL BANK OF INDIA;801878;n.a.;n.a.;623828;n.a.;717247;41143948;4784310;20156542;1179;1017568;1434280;2862846;1179;47401098
CHAILEASE HOLDING CO LTD;24105;n.a.;n.a.;n.a.;n.a.;4991986;n.a.;660339;7510268;2501;950139;1707668;2455923;2016;16519559
CHANG HWA COMMERCIAL BANK LTD.;3855173;n.a.;51395;3449575;n.a.;1891364;58657682;9294689;47410846;23937;758975;1065514;5388866;n.a.;70937460
CHANGJIANG SECURITIES COMPANY LIMITED;5777673;1051049;1773437;2440769;n.a.;4053188;n.a.;10404712;2822925;33056;113235;1006568;4029241;11133;15649491
CHARLES SCHWAB CORPORATION;35009000;9012000;0;0;1944000;6730000;220108000;43931000;37691000;1355000;6407000;10749000;21745000;1227000;294005000
CHIBA BANK LTD.;1643974;183983;2923790;4947709;4112999;5874674;117503997;22967618;96912662;134250;1108841;1561417;8549522;n.a.;143605672
CHINA BANKING CORPORATION - CHINABANK;530843;245470;n.a.;495567;587820;378278;15281173;1876919;11211555;96678;513387;642561;1895310;16549;18962360
CHINA BOHAI BANK;2907213;264814;3301716;24334086;n.a.;28138520;92709968;30704456;98365406;82960;3279005;4047915;11847914;n.a.;159312509
